Matemática,Lenguaje,Ciencias,NEM,Colegio_Egreso,Sexo,Nota,asi_Cod
627,608,589,722,Municipalizado,F,4.4,520145
589,557,550,579,Subvencionado,F,1.0,520145
810,667,675,722,Subvencionado,M,6.4,510145
614,562,578,722,Subvencionado,M,4.3,530024
630,658,581,537,Subvencionado,F,2.3,510145
588,557,550,579,Subvencionado,F,1.0,520145
609,552,575,723,Municipalizado,M,4.4,510145
677,767,689,763,Subvencionado,M,4.5,530024
830,701,696,701,Subvencionado,M,5.0,520145
678,651,679,641,Municipalizado,M,6.0,530024
644,507,588,641,Municipalizado,M,5.2,530024
619,709,576,661,Subvencionado,M,1.0,520145
605,514,562,561,Privado,M,3.3,530024
619,619,595,538,Subvencionado,M,1.0,510145
683,712,585,619,Subvencionado,F,4.4,530024
666,651,657,762,Subvencionado,M,4.2,520145
660,569,574,578,Municipalizado,M,4.8,510145
683,786,668,743,Subvencionado,F,5.4,510145
672,608,660,663,Municipalizado,M,4.6,520145
674,721,678,723,Privado,F,3.7,520145
647,602,622,599,Municipalizado,M,3.1,510145
831,618,649,661,Privado,M,5.7,530024
609,450,476,601,Subvencionado,M,2.2,510145
673,659,625,580,Subvencionado,F,3.0,510145
626,581,567,601,Municipalizado,F,4.6,510145
702,711,721,786,Subvencionado,F,5.7,520145
606,603,611,702,Municipalizado,F,2.5,510145
684,590,610,764,Subvencionado,M,2.2,520145
673,524,598,703,Subvencionado,M,4.7,530024
682,558,550,619,Subvencionado,M,4.8,520145
661,568,614,662,Subvencionado,M,2.9,520145
810,722,638,701,Privado,F,5.5,520145
604,580,563,559,Subvencionado,M,2.0,510145
678,618,585,598,Privado,M,1.0,520145
619,614,597,558,Subvencionado,F,3.5,520145
663,597,603,558,Municipalizado,M,3.0,520145
641,675,615,701,Subvencionado,M,2.9,520145
696,646,656,682,Municipalizado,M,5.3,510145
773,596,688,619,Subvencionado,M,2.9,510145
662,561,630,640,Municipalizado,M,3.1,520145
630,531,505,578,Subvencionado,F,4.1,510145
623,600,534,578,Subvencionado,M,4.3,510145
618,606,534,660,Subvencionado,M,1.0,520145
665,633,674,620,Subvencionado,M,5.3,510145
601,613,652,660,Subvencionado,M,1.0,530024
623,618,675,641,Municipalizado,M,2.9,520145
752,787,650,702,Municipalizado,M,4.5,510145
608,596,613,640,Subvencionado,M,4.2,520145
601,618,598,662,Subvencionado,M,2.5,520145
673,586,591,599,Subvencionado,M,4.1,530024
624,568,509,660,Municipalizado,M,2.1,510145
651,608,599,701,Municipalizado,F,2.4,520145
830,692,806,744,Subvencionado,M,6.3,510145
614,682,619,641,Municipalizado,F,1.0,530024
599,652,562,597,Municipalizado,M,3.0,530024
636,551,588,517,Municipalizado,M,3.2,510145
700,710,589,722,Subvencionado,F,3.1,510145
772,667,684,743,Subvencionado,M,4.0,520145
639,496,584,475,Municipalizado,F,1.3,520145
660,525,665,641,Municipalizado,M,5.1,520145
702,701,701,702,Privado,M,4.4,520145
611,546,535,641,Municipalizado,M,1.8,520145
636,660,636,557,Privado,M,4.1,520145
615,607,563,619,Municipalizado,F,4.3,520145
586,556,591,598,Subvencionado,F,2.6,510145
812,691,680,683,Privado,M,3.5,510145
601,618,597,660,Subvencionado,M,2.5,520145
810,568,601,660,Subvencionado,F,4.4,530024
567,584,588,620,Subvencionado,M,1.5,520145
641,494,524,640,Subvencionado,M,3.2,510145
609,625,570,661,Subvencionado,M,2.0,510145
810,659,662,641,Subvencionado,M,4.9,520145
736,566,637,701,Subvencionado,M,4.0,510145
685,648,702,661,Privado,F,3.1,520145
613,591,522,578,Privado,M,2.6,510145
661,656,665,620,Privado,M,4.0,510145
669,591,621,642,Subvencionado,M,1.0,510145
673,632,613,764,Subvencionado,M,5.0,520145
684,580,666,621,Privado,M,4.8,510145
644,689,613,661,Subvencionado,F,4.0,510145
636,659,628,476,Subvencionado,M,3.2,520145
705,632,622,495,Privado,M,4.2,520145
641,625,621,659,Privado,M,5.2,510145
664,591,600,480,Privado,M,2.1,510145
594,668,647,559,Municipalizado,F,1.0,510145
831,783,734,805,Subvencionado,M,4.7,510145
638,537,580,640,Municipalizado,F,2.7,520145
589,558,550,579,Subvencionado,F,1.0,520145
684,637,701,579,Subvencionado,M,4.7,530024
646,507,588,619,Subvencionado,M,5.2,520145
700,608,606,517,Subvencionado,M,5.5,520145
647,599,639,722,Municipalizado,M,4.1,520145
831,776,765,785,Privado,M,5.3,510145
651,659,646,495,Subvencionado,M,4.2,510145
657,617,627,620,Privado,M,5.2,510145
595,573,592,659,Municipalizado,M,1.0,510145
542,572,506,658,Municipalizado,F,3.4,510145
479,484,516,701,Subvencionado,M,1.9,520145
636,613,571,496,Privado,M,4.1,510145
704,656,692,680,Privado,M,4.2,510145
669,651,603,661,Privado,M,5.4,520145
652,557,592,538,Subvencionado,M,3.0,510145
695,701,678,744,Subvencionado,M,4.1,520145
689,395,631,619,Municipalizado,M,4.8,520145
635,552,588,516,Municipalizado,M,1.0,530024
672,614,625,579,Privado,M,1.0,520145
662,591,601,600,Privado,M,3.3,510145
752,652,663,785,Subvencionado,M,4.9,520145
615,593,629,578,Municipalizado,M,5.3,520145
666,637,629,661,Privado,M,1.6,520145
612,691,644,578,Subvencionado,M,2.2,520145
774,682,733,701,Subvencionado,M,5.2,520145
628,528,562,496,Subvencionado,M,3.5,520145
612,582,537,601,Municipalizado,F,1.0,520145
701,668,701,641,Municipalizado,M,4.2,510145
588,557,550,580,Subvencionado,F,3.2,520145
678,767,688,762,Subvencionado,M,4.9,520145
702,579,640,454,Municipalizado,M,4.0,530024
790,722,691,598,Municipalizado,M,4.3,520145
733,519,734,619,Subvencionado,M,4.6,530024
679,620,667,723,Privado,F,4.2,510145
705,645,603,701,Subvencionado,M,4.1,510145
543,573,507,661,Municipalizado,F,4.0,520145
661,569,562,516,Privado,M,4.5,510145
655,591,564,701,Subvencionado,M,4.1,520145
682,675,714,722,Subvencionado,M,4.2,510145
615,614,618,640,Subvencionado,M,1.4,520145
669,569,618,558,Subvencionado,M,3.8,530024
609,501,563,744,Municipalizado,M,4.0,530024
633,632,672,599,Municipalizado,M,3.1,520145
558,494,572,538,Municipalizado,M,2.3,510145
606,513,563,561,Privado,M,4.0,520145
643,520,622,580,Municipalizado,M,4.8,510145
620,682,613,681,Municipalizado,F,4.0,520145
677,709,688,538,Privado,M,3.6,510145
670,569,641,475,Municipalizado,M,4.1,510145
647,604,622,597,Municipalizado,M,4.6,530024
618,573,554,682,Municipalizado,M,1.6,510145
677,766,690,764,Subvencionado,M,4.9,520145
624,712,611,681,Subvencionado,M,3.7,510145
657,536,596,744,Municipalizado,F,4.4,520145
660,614,631,681,Municipalizado,M,4.9,520145
651,537,581,764,Municipalizado,F,4.4,510145
655,581,599,495,Subvencionado,M,1.0,510145
599,503,592,744,Municipalizado,M,3.2,520145
755,731,681,578,Privado,M,4.2,510145
639,566,576,619,Privado,F,5.1,520145
733,723,651,682,Subvencionado,M,4.0,520145
655,681,621,682,Subvencionado,F,3.3,510145
687,650,642,516,Subvencionado,M,4.1,510145
688,626,638,702,Municipalizado,M,4.4,530024
683,562,652,640,Subvencionado,M,4.1,530024
675,518,615,597,Subvencionado,M,3.1,510145
656,644,573,598,Privado,M,1.5,520145
659,644,581,661,Subvencionado,M,4.1,510145
652,584,627,701,Subvencionado,M,4.0,530024
651,619,569,461,Privado,M,1.0,530024
655,539,597,744,Municipalizado,F,4.4,520145
669,659,575,660,Municipalizado,M,3.1,520145
615,567,517,620,Subvencionado,F,3.2,520145
737,699,734,804,Municipalizado,M,6.2,530024
602,557,548,600,Subvencionado,M,3.0,510145
694,646,575,640,Subvencionado,M,4.0,530024
623,602,591,641,Subvencionado,M,3.7,530024
677,674,693,723,Subvencionado,M,4.0,510145
657,619,656,617,Privado,M,4.0,520145
754,532,671,763,Municipalizado,M,5.3,510145
693,659,659,702,Municipalizado,F,5.5,530024
756,614,656,744,Subvencionado,M,4.5,510145
645,628,597,745,Subvencionado,M,4.3,510145
632,572,656,745,Privado,M,2.8,510145
752,721,662,702,Privado,M,4.4,530024
593,567,576,742,Municipalizado,F,5.1,520145
573,502,509,701,Municipalizado,M,1.0,510145
718,592,682,661,Privado,M,4.0,510145
701,608,607,517,Subvencionado,M,4.1,530024
599,711,603,682,Subvencionado,F,2.4,510145
756,551,602,558,Privado,M,5.4,520145
689,660,681,578,Subvencionado,M,4.8,510145
693,563,641,641,Subvencionado,M,4.5,530024
696,618,544,602,Privado,M,1.0,520145
675,567,688,474,Privado,M,2.9,520145
812,650,708,701,Subvencionado,M,6.2,520145
717,644,702,598,Privado,M,4.0,510145
650,652,748,743,Subvencionado,M,4.1,520145
657,542,616,559,Privado,M,4.4,530024
623,528,652,475,Subvencionado,M,3.2,520145
665,692,662,621,Subvencionado,M,4.9,520145
637,534,592,599,Subvencionado,M,4.6,510145
630,606,628,743,Subvencionado,M,1.0,520145
712,614,647,640,Municipalizado,F,5.5,530024
733,681,652,722,Subvencionado,M,4.0,510145
712,617,614,744,Subvencionado,F,4.0,520145
718,587,657,641,Subvencionado,M,4.2,510145
696,701,639,620,Subvencionado,M,1.0,510145
653,585,627,702,Subvencionado,M,4.0,530024
626,628,602,518,Municipalizado,M,2.9,510145
647,596,572,619,Municipalizado,F,1.6,510145
633,571,564,619,Subvencionado,M,2.6,510145
640,659,704,661,Municipalizado,M,3.1,510145
615,696,660,496,Subvencionado,M,5.2,510145
612,578,630,641,Municipalizado,M,4.2,510145
654,658,532,702,Privado,F,2.0,510145
682,625,638,682,Municipalizado,M,4.9,510145
696,613,654,763,Subvencionado,F,5.5,510145
656,700,563,579,Subvencionado,M,3.0,520145
672,587,591,599,Subvencionado,M,2.4,520145
712,645,690,682,Subvencionado,M,4.4,510145
635,660,628,475,Subvencionado,M,3.0,520145
755,666,677,703,Privado,M,4.0,520145
623,556,564,495,Subvencionado,M,1.0,510145
737,646,723,703,Privado,M,5.5,520145
672,658,630,640,Privado,M,5.6,520145
772,674,675,683,Subvencionado,M,5.6,520145
609,607,601,660,Subvencionado,F,2.3,510145
687,619,564,620,Subvencionado,M,2.9,510145
651,639,591,681,Subvencionado,F,2.9,520145
648,657,625,642,Subvencionado,M,3.6,520145
732,745,702,744,Subvencionado,F,4.8,510145
602,499,531,661,Municipalizado,M,2.3,520145
829,756,682,660,Subvencionado,M,4.1,520145
736,582,660,455,Subvencionado,M,2.4,520145
605,542,539,577,Privado,M,2.2,520145
626,537,610,701,Municipalizado,M,1.0,510145
663,625,648,639,Subvencionado,M,4.1,510145
603,631,588,701,Municipalizado,F,4.9,510145
668,666,683,681,Privado,F,5.3,520145
613,566,606,640,Subvencionado,F,5.7,520145
753,619,697,620,Subvencionado,M,4.5,520145
646,650,652,660,Subvencionado,M,5.1,530024
737,710,602,682,Privado,M,4.5,510145
638,495,584,475,Municipalizado,F,1.0,520145
661,657,666,620,Privado,M,2.6,510145
736,613,606,722,Subvencionado,M,5.0,520145
603,557,547,601,Subvencionado,M,4.1,530024
656,591,528,702,Subvencionado,M,4.0,510145
595,546,549,496,Subvencionado,F,1.9,520145
732,585,659,580,Privado,M,3.1,520145
596,618,535,661,Subvencionado,M,3.2,510145
774,658,691,681,Subvencionado,M,5.7,530024
660,545,536,515,Privado,M,5.1,510145
609,551,576,722,Municipalizado,M,4.9,520145
772,682,778,661,Privado,M,2.9,520145
673,652,679,682,Privado,M,4.3,510145
648,633,602,743,Subvencionado,M,5.5,510145
566,507,518,440,Privado,M,2.0,510145
701,579,641,455,Municipalizado,M,3.5,510145
680,598,645,722,Municipalizado,M,3.3,510145
677,572,734,723,Subvencionado,M,4.2,510145
623,639,664,662,Privado,M,3.0,520145
755,551,602,558,Privado,M,5.4,520145
700,546,602,516,Subvencionado,M,4.4,530024
712,595,669,744,Subvencionado,M,5.7,530024
755,608,616,618,Privado,M,5.1,530024
634,502,574,615,Subvencionado,M,3.0,510145
677,633,674,557,Privado,M,4.0,510145
679,563,618,539,Privado,M,1.7,520145
590,581,450,641,Municipalizado,M,4.2,520145
673,671,601,723,Subvencionado,M,4.8,510145
696,732,653,682,Privado,F,4.2,510145
562,632,582,599,Municipalizado,M,1.0,510145
717,667,671,658,Privado,M,4.5,520145
812,691,679,681,Privado,M,4.6,530024
629,607,627,744,Subvencionado,M,3.2,520145
572,578,574,701,Subvencionado,M,2.8,510145
717,732,625,661,Subvencionado,M,4.7,520145
733,721,651,681,Subvencionado,M,4.0,520145
633,568,574,660,Subvencionado,M,2.0,520145
682,652,631,682,Subvencionado,M,3.6,510145
732,596,669,724,Subvencionado,M,5.9,520145
596,507,538,700,Municipalizado,M,3.1,520145
750,701,692,703,Privado,M,4.0,520145
583,537,562,743,Subvencionado,M,1.5,520145
672,568,537,723,Subvencionado,M,4.8,530024
688,583,595,579,Subvencionado,M,3.4,520145
600,507,531,600,Subvencionado,M,4.2,520145
620,471,559,722,Subvencionado,F,5.1,520145
701,580,640,454,Municipalizado,M,3.5,510145
606,591,428,660,Municipalizado,M,4.0,510145
715,663,615,681,Privado,M,4.6,520145
673,518,615,597,Subvencionado,M,3.4,530024
595,619,615,598,Subvencionado,F,2.2,510145
687,683,665,577,Privado,M,3.3,520145
669,602,642,723,Municipalizado,M,3.5,520145
609,606,601,660,Subvencionado,F,2.3,510145
629,557,558,579,Privado,M,5.6,520145
717,591,683,662,Privado,M,4.0,510145
672,567,611,660,Municipalizado,M,3.4,510145
600,503,592,741,Municipalizado,M,4.8,530024
668,614,660,578,Privado,M,4.5,520145
653,514,553,496,Subvencionado,M,4.1,520145
575,574,574,520,Subvencionado,M,1.0,520145
613,581,537,600,Municipalizado,F,4.6,530024
661,579,558,660,Subvencionado,M,1.0,520145
772,591,660,640,Municipalizado,M,4.6,530024
684,733,644,702,Privado,F,5.1,530024
608,546,625,453,Privado,M,1.0,510145
668,563,539,762,Municipalizado,M,5.3,510145
695,702,639,619,Subvencionado,M,1.0,530024
632,551,553,619,Subvencionado,M,5.1,520145
651,613,657,763,Municipalizado,M,5.6,530024
736,668,693,599,Subvencionado,M,3.6,520145
687,644,635,722,Municipalizado,M,4.5,520145
647,619,659,805,Subvencionado,F,5.5,530024
673,587,591,598,Subvencionado,M,2.5,520145
631,660,592,743,Subvencionado,M,4.4,510145
652,586,528,494,Privado,M,4.0,520145
625,508,558,601,Subvencionado,M,1.9,510145
673,557,625,701,Subvencionado,M,4.9,520145
737,690,651,785,Privado,M,5.0,510145
659,651,603,496,Privado,M,4.4,530024
703,626,682,722,Privado,M,3.8,510145
669,620,631,763,Subvencionado,M,4.4,520145
773,595,688,620,Subvencionado,M,5.4,530024
732,569,669,763,Subvencionado,F,5.4,510145
607,625,571,661,Subvencionado,M,3.3,510145
611,457,625,744,Subvencionado,F,4.4,510145
575,573,571,580,Subvencionado,M,1.0,510145
611,537,593,618,Municipalizado,M,3.7,530024
702,712,740,700,Privado,M,4.9,520145
642,541,661,785,Subvencionado,F,4.6,520145
736,603,679,723,Subvencionado,M,5.3,520145
638,613,604,805,Municipalizado,M,1.0,520145
681,597,645,723,Municipalizado,M,3.3,510145
656,562,613,434,Subvencionado,M,2.0,510145
696,659,632,743,Municipalizado,M,5.4,510145
689,702,684,599,Subvencionado,M,3.5,530024
725,605,624,640,Subvencionado,M,5.0,520145
596,568,558,661,Subvencionado,M,2.2,520145
606,537,541,722,Subvencionado,F,4.4,520145
752,651,648,702,Municipalizado,M,4.1,510145
606,514,563,561,Privado,M,2.5,530024
668,538,551,702,Municipalizado,M,4.2,510145
645,625,613,640,Privado,M,4.1,520145
686,663,773,743,Subvencionado,M,4.8,530024
831,690,698,723,Subvencionado,M,4.0,520145
655,701,564,577,Subvencionado,M,3.0,520145
681,651,631,682,Subvencionado,M,2.7,510145
684,569,666,660,Subvencionado,F,2.8,520145
733,625,685,641,Subvencionado,M,4.1,530024
648,659,624,640,Subvencionado,M,4.2,520145
617,574,553,680,Municipalizado,M,2.3,520145
602,709,591,682,Subvencionado,F,2.4,510145
700,650,592,660,Privado,F,3.7,530024
697,573,604,558,Privado,M,4.0,520145
619,580,566,557,Subvencionado,M,1.7,520145
738,566,659,639,Subvencionado,M,3.6,520145
683,580,665,619,Privado,M,5.0,520145
639,603,596,660,Subvencionado,M,4.0,520145
686,699,589,660,Privado,M,2.8,510145
584,657,568,536,Subvencionado,M,1.0,520145
645,710,621,681,Subvencionado,M,2.6,510145
703,656,693,682,Privado,M,5.4,530024
689,614,604,681,Municipalizado,M,4.0,510145
713,617,651,764,Subvencionado,F,4.9,520145
605,619,618,599,Municipalizado,M,2.7,520145
579,525,534,722,Municipalizado,M,2.2,520145
641,546,656,619,Privado,M,4.8,530024
649,692,591,640,Subvencionado,M,2.0,530024
718,620,649,620,Subvencionado,M,5.6,520145
752,772,681,745,Subvencionado,M,5.1,510145
733,702,665,764,Privado,F,5.1,520145
830,513,701,744,Privado,M,5.5,530024
644,590,659,620,Privado,M,3.5,510145
713,755,630,620,Subvencionado,M,2.2,520145
677,699,641,763,Subvencionado,M,4.8,520145
664,614,652,681,Subvencionado,M,5.6,520145
644,663,672,518,Subvencionado,M,3.8,510145
593,638,600,702,Subvencionado,M,4.5,530024
620,614,597,557,Subvencionado,F,2.5,520145
612,536,591,620,Municipalizado,M,2.6,530024
566,585,589,621,Subvencionado,M,2.3,510145
608,450,476,600,Subvencionado,M,2.2,510145
647,622,548,559,Subvencionado,M,3.3,530024
661,632,574,722,Municipalizado,M,3.7,530024
647,665,628,620,Privado,M,3.1,510145
630,620,646,744,Subvencionado,M,5.1,530024
689,659,681,579,Subvencionado,M,4.8,510145
695,613,647,721,Municipalizado,M,4.0,510145
688,626,614,619,Privado,M,4.6,530024
670,772,647,763,Subvencionado,M,4.2,510145
689,702,685,599,Subvencionado,M,1.8,520145
613,591,522,579,Privado,M,2.6,510145
620,618,594,539,Subvencionado,M,1.0,520145
596,668,648,557,Municipalizado,F,2.4,510145
662,656,665,620,Privado,M,1.8,520145
718,637,676,660,Subvencionado,F,4.0,510145
678,563,620,537,Privado,M,6.1,510145
636,680,638,599,Subvencionado,M,2.7,520145
810,721,639,702,Privado,F,4.2,510145
791,646,690,745,Privado,M,4.4,510145
599,592,573,661,Subvencionado,F,2.0,510145
679,529,656,640,Subvencionado,M,4.8,510145
617,638,494,661,Subvencionado,F,1.0,520145
695,547,630,475,Subvencionado,M,2.3,510145
701,772,651,661,Subvencionado,M,4.1,520145
647,586,616,662,Subvencionado,M,4.2,520145
692,561,614,517,Privado,M,4.5,520145
681,651,631,680,Subvencionado,M,2.8,510145
678,633,671,661,Subvencionado,M,5.5,530024
717,527,589,495,Subvencionado,M,4.9,510145
673,681,648,785,Subvencionado,M,4.1,510145
640,613,605,804,Municipalizado,M,1.0,520145
655,560,614,435,Subvencionado,M,1.7,520145
684,572,619,598,Subvencionado,M,2.7,520145
587,585,583,619,Municipalizado,M,4.3,530024
681,696,627,579,Privado,M,4.2,510145
688,626,638,703,Municipalizado,M,2.4,510145
664,632,641,682,Subvencionado,M,4.0,520145
594,596,589,661,Subvencionado,F,3.1,520145
644,710,622,682,Subvencionado,M,4.0,510145
632,558,613,702,Subvencionado,F,4.7,520145
672,598,581,660,Subvencionado,M,4.6,530024
751,786,650,701,Municipalizado,M,4.9,520145
589,628,582,459,Privado,M,3.3,510145
666,627,539,785,Subvencionado,M,5.6,520145
637,606,606,681,Subvencionado,M,4.0,510145
663,614,595,639,Subvencionado,M,3.3,520145
576,528,540,618,Subvencionado,M,4.2,510145
733,592,685,785,Municipalizado,M,3.7,510145
638,596,566,681,Subvencionado,M,3.4,520145
700,547,602,517,Subvencionado,M,2.9,510145
605,508,559,559,Municipalizado,M,3.1,510145
773,650,660,621,Subvencionado,M,4.7,510145
718,596,646,722,Subvencionado,M,4.4,510145
700,626,657,682,Subvencionado,M,5.4,520145
771,682,692,805,Privado,F,6.1,520145
623,568,511,661,Municipalizado,M,2.1,510145
772,674,748,641,Privado,M,4.2,520145
682,607,634,784,Municipalizado,M,5.4,530024
634,552,638,599,Municipalizado,M,6.1,530024
678,608,599,597,Subvencionado,M,1.0,510145
663,567,561,599,Subvencionado,M,2.0,510145
646,629,596,745,Subvencionado,M,4.2,520145
639,658,702,661,Municipalizado,M,2.8,510145
737,732,641,721,Subvencionado,M,5.5,530024
736,658,617,640,Privado,M,4.1,530024
701,633,672,702,Subvencionado,M,4.1,520145
661,773,662,702,Subvencionado,F,2.9,510145
620,525,537,619,Municipalizado,M,2.2,520145
617,591,528,640,Municipalizado,M,2.1,520145
666,569,579,557,Privado,M,4.1,510145
669,558,581,640,Subvencionado,M,3.0,520145
653,619,569,459,Privado,M,1.0,530024
625,760,629,533,Subvencionado,M,2.2,510145
620,581,595,679,Municipalizado,M,2.9,510145
616,542,517,764,Municipalizado,M,2.1,520145
570,561,544,579,Subvencionado,M,1.0,510145
655,673,631,661,Subvencionado,M,5.8,530024
589,585,616,724,Subvencionado,M,4.0,520145
626,607,578,661,Subvencionado,F,1.0,520145
636,580,581,538,Subvencionado,F,2.5,530024
620,581,595,682,Municipalizado,M,6.0,520145
586,528,589,701,Subvencionado,M,2.5,510145
602,551,556,580,Subvencionado,M,2.4,510145
627,634,636,701,Privado,M,2.9,510145
626,552,602,661,Subvencionado,M,1.8,520145
682,467,625,619,Municipalizado,M,4.0,510145
615,658,540,601,Subvencionado,M,3.9,530024
604,549,572,659,Municipalizado,M,1.0,520145
579,524,535,722,Municipalizado,M,2.0,510145
701,633,766,722,Privado,M,6.1,520145
751,625,645,599,Subvencionado,M,5.0,520145
560,518,545,682,Municipalizado,M,2.8,510145
851,658,660,659,Privado,M,2.5,520145
651,603,580,660,Subvencionado,M,5.0,520145
591,596,588,723,Municipalizado,M,2.3,510145
671,556,624,598,Subvencionado,M,4.5,520145
630,602,579,702,Privado,F,3.4,510145
656,639,622,558,Subvencionado,M,5.8,530024
637,536,579,639,Municipalizado,F,2.7,520145
669,568,619,559,Subvencionado,M,2.4,510145
683,637,701,577,Subvencionado,M,4.7,530024
687,639,625,660,Subvencionado,M,1.0,520145
601,652,540,701,Subvencionado,F,2.9,520145
712,591,619,578,Subvencionado,M,5.3,520145
657,672,630,662,Subvencionado,M,3.6,510145
639,607,581,683,Subvencionado,M,1.0,510145
647,629,598,743,Subvencionado,M,1.0,530024
772,733,762,805,Subvencionado,M,6.6,530024
603,608,553,620,Municipalizado,M,3.4,510145
688,674,671,537,Subvencionado,M,4.6,530024
672,615,625,579,Privado,M,1.0,510145
626,633,637,702,Privado,M,3.2,520145
774,575,645,639,Privado,M,3.4,510145
701,625,681,722,Privado,M,4.2,530024
702,625,639,683,Subvencionado,M,4.7,520145
717,639,676,661,Subvencionado,F,5.3,530024
677,673,616,660,Municipalizado,F,5.0,530024
772,674,675,682,Subvencionado,M,5.4,510145
585,668,571,622,Subvencionado,M,1.9,510145
673,582,652,724,Municipalizado,M,4.2,510145
617,638,614,640,Municipalizado,M,2.7,510145
678,773,653,762,Municipalizado,F,4.0,520145
681,754,679,620,Subvencionado,F,3.4,510145
688,625,637,700,Municipalizado,M,1.0,510145
831,670,614,785,Subvencionado,M,5.6,520145
660,568,563,514,Privado,M,4.5,510145
648,643,676,702,Subvencionado,M,4.5,520145
592,582,541,580,Subvencionado,M,2.1,510145
582,537,553,681,Subvencionado,F,2.4,520145
738,586,614,578,Privado,M,4.6,510145
624,527,651,476,Subvencionado,M,4.0,520145
701,614,685,743,Subvencionado,M,5.1,530024
811,528,575,558,Privado,M,4.9,530024
693,553,619,538,Municipalizado,M,4.1,530024
623,578,584,659,Subvencionado,M,2.5,520145
830,601,659,660,Privado,M,5.2,520145
673,582,652,725,Municipalizado,M,4.2,510145
656,631,602,640,Subvencionado,F,3.2,510145
626,657,599,764,Municipalizado,M,5.0,530024
713,590,618,580,Subvencionado,M,5.3,520145
732,660,640,723,Subvencionado,M,6.2,510145
636,590,554,494,Subvencionado,M,2.7,510145
666,693,663,621,Subvencionado,M,4.4,510145
713,638,663,723,Municipalizado,M,4.0,510145
592,638,600,702,Subvencionado,M,4.5,530024
646,618,627,579,Subvencionado,M,4.2,530024
682,640,614,661,Subvencionado,M,3.1,520145
687,651,643,517,Subvencionado,M,3.4,510145
570,563,545,579,Subvencionado,M,1.0,520145
600,569,517,579,Subvencionado,F,1.9,510145
570,508,545,641,Subvencionado,M,4.0,520145
634,582,597,557,Privado,M,5.1,530024
652,574,588,661,Subvencionado,F,4.0,530024
652,550,601,743,Municipalizado,F,2.0,510145
687,597,714,496,Subvencionado,M,6.2,520145
617,732,706,517,Subvencionado,M,2.8,530024
668,567,580,557,Privado,M,2.8,520145
575,574,571,579,Subvencionado,M,1.0,520145
682,651,631,681,Subvencionado,M,2.7,510145
678,567,683,640,Privado,M,4.2,520145
660,563,591,661,Subvencionado,M,4.0,510145
624,556,563,496,Subvencionado,M,2.0,510145
641,580,666,659,Subvencionado,M,1.9,520145
609,667,598,681,Subvencionado,M,1.0,510145
600,619,597,660,Subvencionado,M,2.2,510145
679,580,581,640,Municipalizado,M,2.5,510145
611,626,629,620,Municipalizado,M,2.4,510145
683,579,665,619,Privado,M,5.0,520145
631,541,582,497,Privado,M,4.4,520145
593,641,599,701,Subvencionado,M,4.1,510145
629,584,601,557,Subvencionado,M,4.2,510145
596,591,557,538,Subvencionado,F,1.0,520145
701,625,638,682,Subvencionado,M,5.2,530024
688,618,614,640,Municipalizado,M,2.8,510145
664,673,652,786,Municipalizado,M,3.2,510145
774,682,734,701,Subvencionado,M,6.0,530024
732,638,697,680,Privado,M,5.6,510145
658,623,582,722,Subvencionado,M,4.1,510145
615,567,516,620,Subvencionado,F,2.4,510145
657,651,693,744,Subvencionado,M,2.0,520145
771,682,692,804,Privado,F,6.1,520145
696,651,681,660,Subvencionado,M,4.3,530024
678,660,610,620,Subvencionado,M,4.1,520145
713,682,550,640,Subvencionado,M,4.1,530024
810,568,601,660,Subvencionado,F,4.4,530024
655,638,621,558,Subvencionado,M,4.0,520145
655,576,596,537,Municipalizado,M,5.0,510145
678,792,693,744,Privado,F,4.1,510145
600,674,612,578,Subvencionado,M,1.6,520145
617,573,554,680,Municipalizado,M,1.6,510145
831,720,721,745,Privado,M,6.2,520145
717,721,663,784,Subvencionado,F,5.1,510145
617,681,589,661,Municipalizado,F,3.8,510145
615,579,629,495,Privado,M,1.0,510145
696,674,636,641,Subvencionado,M,2.3,510145
683,733,661,764,Subvencionado,F,5.1,510145
592,683,583,618,Subvencionado,M,1.5,520145
630,633,638,539,Privado,M,2.3,510145
772,701,710,785,Municipalizado,M,5.4,530024
689,606,592,682,Privado,F,4.4,510145
665,626,633,476,Subvencionado,M,1.0,510145
605,606,592,600,Municipalizado,M,1.0,520145
636,531,561,681,Subvencionado,M,2.8,530024
689,638,624,701,Municipalizado,M,4.3,530024
679,632,656,765,Privado,M,5.0,520145
693,548,589,476,Subvencionado,M,4.0,510145
613,675,651,641,Municipalizado,M,2.2,510145
811,619,683,661,Subvencionado,M,5.5,520145
732,607,628,723,Subvencionado,M,4.1,530024
600,618,598,661,Subvencionado,M,3.1,510145
566,495,516,620,Subvencionado,F,4.0,520145
647,596,599,682,Subvencionado,M,4.3,530024
656,585,648,454,Privado,M,2.0,520145
634,594,602,701,Subvencionado,F,3.5,510145
569,674,553,516,Subvencionado,M,1.0,520145
646,667,628,661,Subvencionado,M,4.8,530024
674,567,688,474,Privado,M,3.1,520145
671,632,665,600,Subvencionado,M,4.2,510145
738,658,616,640,Privado,M,4.1,530024
657,659,634,722,Municipalizado,F,4.5,520145
670,573,650,454,Municipalizado,M,3.5,510145
771,668,684,743,Subvencionado,M,5.4,530024
733,568,668,764,Subvencionado,F,5.8,520145
683,573,578,681,Municipalizado,M,2.8,510145
629,602,579,702,Privado,F,4.1,530024
