Matemática,Lenguaje,Ciencias,NEM,Colegio_Egreso,Sexo,Nota,asi_Cod
645,690,614,661,Subvencionado,F,4.4,530024
690,393,629,618,Municipalizado,M,4.8,520145
687,768,651,703,Privado,M,5.1,530024
647,596,599,681,Subvencionado,M,2.7,510145
619,524,551,601,Subvencionado,M,1.0,520145
681,691,596,722,Subvencionado,F,2.8,510145
724,604,624,641,Subvencionado,M,1.0,510145
605,603,610,702,Municipalizado,F,4.0,520145
618,574,554,681,Municipalizado,M,4.3,530024
591,601,606,681,Subvencionado,M,4.4,530024
678,659,691,599,Subvencionado,M,5.1,520145
751,684,702,661,Privado,F,5.6,520145
678,556,607,620,Privado,M,5.0,530024
649,585,650,536,Subvencionado,M,1.0,510145
580,524,535,721,Municipalizado,M,2.4,510145
718,598,692,723,Municipalizado,M,5.3,520145
569,508,544,642,Subvencionado,M,2.6,510145
627,536,610,702,Municipalizado,M,5.1,530024
694,709,633,764,Subvencionado,M,4.1,510145
771,683,705,785,Subvencionado,M,4.5,510145
661,580,558,661,Subvencionado,M,2.1,510145
669,633,637,661,Subvencionado,F,4.3,510145
754,551,602,558,Privado,M,5.7,510145
684,711,585,618,Subvencionado,F,4.4,520145
646,618,627,580,Subvencionado,M,4.8,510145
614,513,597,618,Municipalizado,M,1.0,530024
633,618,676,724,Privado,M,4.0,510145
849,584,610,661,Subvencionado,M,5.1,520145
811,691,634,556,Privado,M,4.0,520145
592,613,494,683,Municipalizado,M,2.6,520145
655,741,613,496,Subvencionado,M,2.7,520145
666,619,562,495,Subvencionado,M,3.7,510145
655,682,622,680,Subvencionado,F,3.6,510145
651,659,547,763,Municipalizado,M,2.4,520145
630,602,578,702,Privado,F,3.2,510145
648,674,677,641,Subvencionado,M,4.2,510145
664,683,606,557,Subvencionado,M,4.1,520145
690,659,681,579,Subvencionado,M,4.8,510145
630,567,596,702,Municipalizado,M,4.0,510145
638,596,622,661,Subvencionado,M,4.6,510145
652,660,640,744,Municipalizado,M,5.3,530024
665,669,651,599,Subvencionado,M,1.0,520145
830,756,681,661,Subvencionado,M,4.7,530024
756,681,612,577,Privado,M,4.1,510145
718,691,714,804,Privado,F,6.6,530024
755,731,679,578,Privado,M,3.5,520145
619,600,634,660,Subvencionado,F,3.7,520145
774,691,672,642,Privado,M,5.0,520145
611,693,582,598,Subvencionado,M,1.4,520145
670,584,635,454,Privado,M,2.9,510145
645,548,594,661,Municipalizado,F,4.6,510145
626,547,546,601,Subvencionado,M,1.9,520145
657,659,636,722,Municipalizado,F,4.5,520145
660,650,602,494,Privado,M,3.3,510145
620,638,626,682,Privado,F,3.7,520145
626,732,595,660,Subvencionado,M,3.7,520145
608,595,614,641,Subvencionado,M,4.2,520145
771,590,659,641,Municipalizado,M,5.2,510145
624,530,613,640,Municipalizado,M,1.7,510145
646,582,648,640,Municipalizado,M,3.4,530024
830,691,638,598,Subvencionado,M,3.4,510145
688,650,651,702,Subvencionado,M,4.3,510145
678,562,619,539,Privado,M,3.4,510145
707,663,584,702,Municipalizado,M,4.8,510145
673,658,625,579,Subvencionado,F,1.0,530024
812,651,611,723,Municipalizado,M,5.1,530024
645,508,588,641,Municipalizado,M,3.3,510145
774,730,721,785,Subvencionado,F,5.5,530024
646,629,598,743,Subvencionado,M,1.0,530024
678,619,668,723,Privado,F,5.1,520145
592,568,576,742,Municipalizado,F,3.2,510145
629,611,626,578,Subvencionado,M,4.1,520145
640,639,602,662,Municipalizado,M,1.0,520145
633,644,679,680,Subvencionado,M,4.0,510145
589,613,572,702,Municipalizado,M,3.5,520145
683,569,665,661,Subvencionado,F,4.8,510145
645,674,647,538,Subvencionado,M,4.5,530024
684,558,551,619,Subvencionado,M,4.8,520145
665,607,562,620,Municipalizado,M,4.4,520145
585,667,571,622,Subvencionado,M,1.9,510145
619,596,544,744,Municipalizado,M,2.8,510145
628,524,653,619,Subvencionado,M,4.0,520145
630,506,693,436,Subvencionado,M,4.8,530024
674,668,701,724,Privado,M,5.4,510145
771,674,675,681,Subvencionado,M,5.6,520145
620,587,585,682,Subvencionado,M,1.3,520145
668,597,631,661,Privado,F,3.0,510145
650,613,557,597,Municipalizado,M,2.0,510145
737,565,637,699,Subvencionado,M,5.0,530024
772,702,710,786,Municipalizado,M,4.7,520145
647,595,599,681,Subvencionado,M,4.3,520145
638,609,606,681,Subvencionado,M,5.9,520145
656,668,615,701,Subvencionado,F,4.9,530024
660,646,539,557,Subvencionado,M,4.7,510145
717,626,656,621,Privado,M,4.0,510145
678,562,638,498,Subvencionado,M,1.0,510145
774,597,621,662,Privado,M,4.9,510145
648,596,548,641,Subvencionado,M,1.0,520145
690,651,618,744,Subvencionado,F,5.4,530024
635,660,635,557,Privado,M,4.7,510145
689,550,634,619,Subvencionado,M,4.0,510145
673,651,716,619,Subvencionado,M,3.6,510145
609,563,601,619,Subvencionado,F,2.4,520145
733,619,610,681,Privado,M,4.6,510145
693,632,676,721,Subvencionado,M,4.2,520145
692,557,592,619,Subvencionado,M,4.5,510145
637,682,638,597,Subvencionado,M,4.0,520145
689,613,604,681,Municipalizado,M,4.5,520145
653,585,555,557,Privado,M,2.7,510145
619,587,585,680,Subvencionado,M,1.8,520145
665,537,640,640,Privado,M,4.9,520145
670,645,621,620,Privado,M,4.9,530024
810,780,705,702,Privado,M,4.8,510145
679,601,630,661,Subvencionado,F,3.7,510145
639,608,581,682,Subvencionado,M,1.0,520145
655,591,607,682,Subvencionado,M,4.4,530024
595,567,590,641,Subvencionado,M,5.5,510145
670,517,568,455,Municipalizado,M,1.0,530024
616,542,517,763,Municipalizado,M,5.4,530024
660,636,640,618,Subvencionado,M,3.3,510145
633,602,548,803,Municipalizado,M,1.4,520145
612,626,573,722,Subvencionado,M,2.6,520145
640,531,584,784,Municipalizado,F,2.7,520145
773,681,734,702,Subvencionado,M,6.0,530024
736,682,715,763,Privado,M,4.0,510145
701,702,648,640,Subvencionado,M,4.1,530024
618,583,573,598,Subvencionado,F,4.8,520145
629,593,512,621,Municipalizado,F,4.0,510145
671,681,625,682,Subvencionado,M,5.4,520145
619,637,614,641,Municipalizado,M,2.4,510145
596,557,486,620,Municipalizado,M,1.0,520145
635,592,554,497,Subvencionado,M,4.1,530024
718,633,648,620,Subvencionado,M,5.3,520145
613,650,611,640,Subvencionado,F,2.9,510145
656,558,598,619,Subvencionado,M,2.7,520145
665,667,614,659,Subvencionado,M,2.2,510145
793,667,628,642,Subvencionado,M,4.6,510145
632,542,583,495,Privado,M,4.4,520145
680,663,665,702,Privado,M,4.4,520145
713,645,629,682,Privado,F,5.2,530024
612,568,503,702,Municipalizado,M,1.7,510145
604,502,618,578,Subvencionado,M,1.5,520145
664,691,671,763,Privado,F,4.0,520145
646,519,573,620,Municipalizado,M,4.8,520145
672,711,660,744,Privado,M,5.1,510145
659,572,577,660,Subvencionado,F,3.5,510145
625,571,507,702,Municipalizado,M,4.3,510145
666,606,563,619,Municipalizado,M,4.4,520145
543,573,507,659,Municipalizado,F,4.0,520145
678,564,618,538,Privado,M,3.1,510145
580,625,596,722,Subvencionado,M,3.2,520145
636,551,588,517,Municipalizado,M,2.9,510145
677,542,591,619,Municipalizado,M,1.8,520145
694,592,591,579,Subvencionado,M,1.0,520145
639,567,542,661,Municipalizado,M,4.0,520145
562,632,582,598,Municipalizado,M,1.0,520145
596,562,594,723,Municipalizado,M,4.1,520145
665,619,563,495,Subvencionado,M,4.0,510145
775,597,687,619,Subvencionado,M,4.3,520145
616,607,564,619,Municipalizado,F,3.7,510145
646,675,648,537,Subvencionado,M,4.7,520145
629,584,503,682,Subvencionado,F,4.3,530024
606,537,541,722,Subvencionado,F,3.6,520145
629,635,567,641,Subvencionado,M,1.0,530024
719,633,648,620,Subvencionado,M,4.9,530024
632,626,638,682,Municipalizado,M,1.0,520145
639,596,635,722,Subvencionado,M,4.1,520145
583,639,622,701,Subvencionado,F,4.7,530024
665,711,648,743,Subvencionado,F,4.0,510145
811,691,679,681,Privado,M,3.5,510145
594,524,546,745,Municipalizado,M,1.0,510145
670,585,635,456,Privado,M,1.0,510145
652,556,591,538,Subvencionado,M,3.0,520145
700,524,621,537,Privado,M,4.6,520145
756,700,698,805,Privado,M,6.8,520145
772,607,591,682,Privado,M,4.0,520145
648,551,592,558,Subvencionado,M,3.4,510145
712,638,693,641,Subvencionado,F,5.6,520145
574,574,570,580,Subvencionado,M,1.7,520145
647,602,622,598,Municipalizado,M,2.0,520145
687,580,581,722,Subvencionado,M,5.1,520145
606,626,570,661,Subvencionado,M,3.0,510145
589,629,581,460,Privado,M,3.4,520145
701,699,679,723,Subvencionado,F,4.0,510145
687,721,683,723,Subvencionado,F,4.6,520145
693,560,641,641,Subvencionado,M,3.5,520145
732,607,628,723,Subvencionado,M,4.5,520145
620,620,594,537,Subvencionado,M,1.6,510145
630,635,567,642,Subvencionado,M,3.0,520145
645,552,563,723,Subvencionado,M,3.8,530024
695,573,605,558,Privado,M,2.8,510145
626,701,624,578,Privado,M,1.0,510145
618,600,633,660,Subvencionado,F,3.7,520145
712,637,663,722,Municipalizado,M,4.3,520145
681,620,651,702,Subvencionado,M,2.6,520145
563,633,582,600,Municipalizado,M,1.0,510145
647,606,584,599,Municipalizado,F,3.0,510145
684,625,642,620,Municipalizado,M,4.0,510145
687,650,652,701,Subvencionado,M,4.5,520145
632,572,657,744,Privado,M,4.7,520145
639,576,528,681,Subvencionado,M,1.0,510145
601,569,516,578,Subvencionado,F,2.1,520145
811,667,652,723,Subvencionado,F,4.2,510145
631,614,619,518,Privado,M,1.7,510145
690,625,681,763,Privado,M,4.0,520145
638,602,537,681,Municipalizado,M,4.0,510145
627,609,441,537,Municipalizado,M,3.5,520145
626,658,599,764,Municipalizado,M,4.0,510145
702,626,637,681,Subvencionado,M,4.4,510145
736,650,646,744,Subvencionado,F,3.6,520145
684,734,659,762,Subvencionado,F,5.1,510145
605,606,592,598,Municipalizado,M,2.0,520145
663,681,606,558,Subvencionado,M,1.8,510145
619,484,487,495,Municipalizado,M,1.0,520145
830,626,627,578,Subvencionado,M,4.2,520145
563,633,582,600,Municipalizado,M,1.0,510145
693,700,741,620,Privado,M,6.7,530024
655,682,621,681,Subvencionado,F,4.5,530024
606,513,563,561,Privado,M,4.6,520145
712,618,728,743,Privado,F,4.6,520145
705,626,599,598,Subvencionado,M,5.1,530024
733,536,582,578,Privado,M,1.8,530024
639,596,566,681,Subvencionado,M,3.1,510145
576,574,571,580,Subvencionado,M,1.0,510145
563,633,582,597,Municipalizado,M,1.0,510145
636,591,554,495,Subvencionado,M,4.1,530024
811,551,668,682,Subvencionado,M,4.2,510145
657,584,648,453,Privado,M,1.8,520145
606,580,563,558,Subvencionado,M,2.0,510145
653,601,535,578,Subvencionado,F,4.1,530024
629,591,511,620,Municipalizado,F,5.9,530024
648,578,597,578,Subvencionado,F,3.3,530024
650,542,604,579,Subvencionado,M,4.0,510145
718,689,716,805,Privado,F,4.9,510145
647,648,601,660,Municipalizado,F,2.6,520145
638,652,592,661,Subvencionado,F,2.9,530024
734,618,611,682,Privado,M,4.9,530024
717,700,671,580,Subvencionado,M,4.4,510145
683,590,663,599,Subvencionado,M,3.4,520145
695,701,639,620,Subvencionado,M,1.0,510145
811,767,677,764,Municipalizado,F,4.9,510145
624,651,573,621,Subvencionado,M,2.1,510145
603,608,573,619,Subvencionado,M,4.0,530024
659,700,627,620,Privado,M,3.0,510145
704,651,677,640,Privado,M,4.2,510145
569,570,538,723,Subvencionado,M,1.6,510145
619,632,523,621,Subvencionado,M,3.6,510145
647,603,622,600,Municipalizado,M,3.1,510145
690,614,604,682,Municipalizado,M,5.0,530024
566,496,517,618,Subvencionado,F,2.6,510145
712,646,554,743,Subvencionado,M,4.0,520145
651,658,643,538,Municipalizado,M,3.5,520145
645,551,563,723,Subvencionado,M,4.0,520145
669,579,618,639,Privado,M,2.4,520145
627,606,579,661,Subvencionado,F,1.0,520145
752,675,685,722,Subvencionado,M,4.3,520145
663,567,561,598,Subvencionado,M,1.8,520145
717,699,671,579,Subvencionado,M,4.4,510145
633,571,563,620,Subvencionado,M,2.6,510145
667,671,714,722,Subvencionado,F,3.4,520145
682,580,557,641,Subvencionado,M,1.0,530024
626,536,610,701,Municipalizado,M,1.0,510145
645,710,627,640,Privado,M,2.6,510145
683,702,726,662,Subvencionado,M,2.6,520145
594,618,616,599,Subvencionado,F,4.0,510145
620,587,584,681,Subvencionado,M,1.3,520145
669,541,559,599,Subvencionado,M,2.7,530024
717,625,657,621,Privado,M,4.0,510145
679,722,706,722,Subvencionado,M,2.1,520145
657,717,658,703,Subvencionado,M,4.6,510145
609,626,571,661,Subvencionado,M,1.0,530024
700,651,591,661,Privado,F,4.2,510145
810,638,594,495,Subvencionado,M,3.0,510145
646,674,648,538,Subvencionado,M,3.6,510145
664,682,638,743,Subvencionado,M,3.6,520145
717,638,603,619,Privado,M,5.4,530024
626,458,563,764,Municipalizado,M,4.0,510145
691,641,707,680,Subvencionado,F,4.4,530024
634,556,572,661,Municipalizado,M,4.5,530024
649,583,591,764,Subvencionado,M,4.9,530024
701,580,641,455,Municipalizado,M,4.3,510145
647,602,663,641,Subvencionado,M,1.6,510145
627,566,616,658,Municipalizado,M,2.8,520145
665,626,633,475,Subvencionado,M,1.0,530024
675,625,678,518,Municipalizado,M,5.5,520145
647,581,520,662,Municipalizado,F,4.0,530024
661,563,613,559,Privado,F,2.9,510145
606,622,588,434,Municipalizado,M,2.6,510145
668,619,656,660,Subvencionado,M,2.2,510145
623,524,524,577,Municipalizado,M,2.4,520145
737,690,651,785,Privado,M,5.0,510145
670,517,566,620,Subvencionado,M,4.4,510145
699,561,627,701,Municipalizado,M,4.6,510145
